index,cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrite,NumGE1500,PctGE1500
519,19643031935618,S,Mayfair High,Bellflower Unified,Los Angeles,511,234,490.0,495.0,478.0,99.0,42.31
520,19643110000000,D,,Beverly Hills Unified,Los Angeles,456,219,574.0,589.0,588.0,173.0,79.0
521,19643111930981,S,Beverly Hills High,Beverly Hills Unified,Los Angeles,439,219,574.0,589.0,588.0,173.0,79.0
522,19643290000000,D,,Bonita Unified,Los Angeles,838,415,496.0,497.0,495.0,194.0,46.75
523,19643291931088,S,Bonita High,Bonita Unified,Los Angeles,469,260,495.0,500.0,500.0,127.0,48.85
524,19643291937739,S,San Dimas High,Bonita Unified,Los Angeles,298,155,497.0,491.0,487.0,67.0,43.23
525,19643370000000,D,,Burbank Unified,Los Angeles,1678,680,516.0,524.0,509.0,385.0,56.62
526,19643371931187,S,Burbank High,Burbank Unified,Los Angeles,651,320,516.0,532.0,513.0,193.0,60.31
527,19643371931237,S,Burroughs High,Burbank Unified,Los Angeles,610,338,519.0,521.0,509.0,183.0,54.14
528,19643371996099,S,Options for Youth-Burbank Charter,Burbank Unified,Los Angeles,282,22,467.0,439.0,464.0,9.0,40.91
529,19643520000000,D,,Centinela Valley Union High,Los Angeles,2029,695,416.0,418.0,415.0,104.0,14.96
530,19643520118521,S,Centinela Valley Independent Study,Centinela Valley Union High,Los Angeles,63,0,,,,,
531,19643520128488,S,Family First Charter,Centinela Valley Union High,Los Angeles,181,0,,,,,
532,19643520128496,S,New Opportunities Charter,Centinela Valley Union High,Los Angeles,209,0,,,,,
533,19643521933951,S,Hawthorne High,Centinela Valley Union High,Los Angeles,467,179,412.0,405.0,420.0,26.0,14.53
534,19643521934926,S,Lawndale High,Centinela Valley Union High,Los Angeles,636,361,428.0,429.0,423.0,62.0,17.17
535,19643521935048,S,Leuzinger High,Centinela Valley Union High,Los Angeles,337,155,391.0,410.0,391.0,16.0,10.32
536,19643780000000,D,,Charter Oak Unified,Los Angeles,484,262,470.0,485.0,466.0,97.0,37.02
537,19643781931666,S,Charter Oak High,Charter Oak Unified,Los Angeles,420,262,470.0,485.0,466.0,97.0,37.02
538,19643940000000,D,,Claremont Unified,Los Angeles,622,405,517.0,524.0,518.0,228.0,56.3
539,19643941931807,S,San Antonio High (Continuation),Claremont Unified,Los Angeles,33,2,,,,,
540,19643941931823,S,Claremont High,Claremont Unified,Los Angeles,588,403,517.0,525.0,519.0,228.0,56.58
541,19644360000000,D,,Covina-Valley Unified,Los Angeles,1157,579,464.0,471.0,456.0,169.0,29.19
542,19644361932086,S,Covina High,Covina-Valley Unified,Los Angeles,305,150,454.0,462.0,452.0,36.0,24.0
543,19644361936418,S,Northview High,Covina-Valley Unified,Los Angeles,313,158,433.0,431.0,426.0,28.0,17.72
544,19644361938372,S,South Hills High,Covina-Valley Unified,Los Angeles,460,271,488.0,499.0,476.0,105.0,38.75
545,19644440000000,D,,Culver City Unified,Los Angeles,550,341,514.0,516.0,502.0,170.0,49.85
546,19644441932201,S,Culver City High,Culver City Unified,Los Angeles,510,341,514.0,516.0,502.0,170.0,49.85
547,19644510000000,D,,Downey Unified,Los Angeles,2154,929,465.0,464.0,456.0,270.0,29.06
548,19644511932441,S,Downey High,Downey Unified,Los Angeles,1025,455,464.0,456.0,454.0,126.0,27.69
549,19644511939164,S,Warren High,Downey Unified,Los Angeles,908,474,467.0,473.0,458.0,144.0,30.38
550,19644690000000,D,,Duarte Unified,Los Angeles,405,147,450.0,463.0,446.0,33.0,22.45
551,19644690128736,S,Opportunities for Learning - Duarte,Duarte Unified,Los Angeles,111,4,,,,,
552,19644691932482,S,Duarte High,Duarte Unified,Los Angeles,257,143,448.0,465.0,446.0,33.0,23.08
553,19645190000000,D,,El Monte Union High,Los Angeles,2471,1069,451.0,477.0,449.0,340.0,31.81
554,19645191930320,S,Arroyo High,El Monte Union High,Los Angeles,567,291,455.0,483.0,457.0,91.0,31.27
555,19645191932664,S,El Monte High,El Monte Union High,Los Angeles,468,211,434.0,454.0,430.0,56.0,26.54
556,19645191932680,S,Mountain View High,El Monte Union High,Los Angeles,370,126,442.0,461.0,444.0,31.0,24.6
557,19645191937481,S,Rosemead High,El Monte Union High,Los Angeles,448,277,473.0,505.0,469.0,124.0,44.77
558,19645191995661,S,South El Monte High,El Monte Union High,Los Angeles,317,164,436.0,458.0,427.0,38.0,23.17
559,19645270000000,D,,El Rancho Unified,Los Angeles,818,391,441.0,458.0,435.0,90.0,23.02
560,19645271932706,S,El Rancho High,El Rancho Unified,Los Angeles,685,391,441.0,458.0,435.0,90.0,23.02
561,19645350000000,D,,El Segundo Unified,Los Angeles,336,229,523.0,518.0,513.0,126.0,55.02
562,19645351932763,S,El Segundo High,El Segundo Unified,Los Angeles,323,229,523.0,518.0,513.0,126.0,55.02
563,19645680000000,D,,Glendale Unified,Los Angeles,2322,1071,533.0,574.0,538.0,706.0,65.92
564,19645681932144,S,Crescenta Valley High,Glendale Unified,Los Angeles,704,507,561.0,599.0,566.0,377.0,74.36
565,19645681933472,S,Daily (Allan F.) High (Continuation),Glendale Unified,Los Angeles,180,2,,,,,
566,19645681933530,S,Glendale High,Glendale Unified,Los Angeles,677,254,502.0,536.0,495.0,136.0,53.54
567,19645681934082,S,Herbert Hoover High,Glendale Unified,Los Angeles,413,135,505.0,549.0,511.0,72.0,53.33
568,19645681995497,S,Verdugo Academy,Glendale Unified,Los Angeles,17,2,,,,,
569,19645681996131,S,Anderson W. Clark Magnet High,Glendale Unified,Los Angeles,260,171,523.0,580.0,539.0,119.0,69.59
570,19645760000000,D,,Glendora Unified,Los Angeles,652,330,534.0,554.0,525.0,217.0,65.76
571,19645761933597,S,Glendora High,Glendora Unified,Los Angeles,591,329,534.0,554.0,525.0,217.0,65.96
572,19645761939677,S,Whitcomb Continuation High,Glendora Unified,Los Angeles,57,1,,,,,
573,19645840000000,D,,Gorman Elementary,Los Angeles,174,35,516.0,473.0,473.0,16.0,45.71
574,19645841996305,S,Gorman Learning Center,Gorman Elementary,Los Angeles,174,35,516.0,473.0,473.0,16.0,45.71
575,19645920000000,D,,Hawthorne,Los Angeles,111,116,493.0,513.0,492.0,58.0,50.0
576,19645920100354,S,Hawthorne Math and Science Academy,Hawthorne,Los Angeles,111,116,493.0,513.0,492.0,58.0,50.0
577,19646340000000,D,,Inglewood Unified,Los Angeles,830,407,406.0,408.0,411.0,56.0,13.76
578,19646341934231,S,Inglewood High,Inglewood Unified,Los Angeles,266,113,387.0,389.0,394.0,9.0,7.96
579,19646341934249,S,Inglewood Continuation High,Inglewood Unified,Los Angeles,83,1,,,,,
580,19646341936046,S,Morningside High,Inglewood Unified,Los Angeles,232,116,380.0,368.0,379.0,4.0,3.45
581,19646341996529,S,City Honors College Preparatory Academy,Inglewood Unified,Los Angeles,102,92,439.0,429.0,442.0,23.0,25.0
582,19646341996586,S,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,129,85,433.0,466.0,448.0,20.0,23.53
583,19646590000000,D,,La Canada Unified,Los Angeles,362,261,604.0,627.0,605.0,228.0,87.36
584,19646591934611,S,La Canada High,La Canada Unified,Los Angeles,358,261,604.0,627.0,605.0,228.0,87.36
585,19646830000000,D,,Las Virgenes Unified,Los Angeles,1002,526,559.0,563.0,564.0,402.0,76.43
586,19646831930080,S,Agoura High,Las Virgenes Unified,Los Angeles,536,288,571.0,576.0,573.0,236.0,81.94
587,19646831931781,S,Calabasas High,Las Virgenes Unified,Los Angeles,455,238,545.0,547.0,554.0,166.0,69.75
588,19646910000000,D,,Lawndale Elementary,Los Angeles,116,116,443.0,445.0,446.0,26.0,22.41
589,19646911996438,S,Environmental Charter High,Lawndale Elementary,Los Angeles,116,116,443.0,445.0,446.0,26.0,22.41
590,19647090000000,D,,Lennox,Los Angeles,258,238,419.0,425.0,417.0,36.0,15.13
591,19647090100602,S,"Lennox Mathematics, Science and Technology Academy",Lennox,Los Angeles,132,119,432.0,426.0,418.0,18.0,15.13
592,19647091996313,S,Animo Leadership High,Lennox,Los Angeles,126,119,405.0,424.0,416.0,18.0,15.13
593,19647250000000,D,,Long Beach Unified,Los Angeles,6767,2878,469.0,470.0,460.0,1018.0,35.37
594,19647250125153,S,Beach High-Intensive Learning Program,Long Beach Unified,Los Angeles,96,0,,,,,
595,19647251930411,S,Avalon K-12,Long Beach Unified,Los Angeles,54,30,501.0,515.0,492.0,15.0,50.0
596,19647251934470,S,Jordan High,Long Beach Unified,Los Angeles,831,322,392.0,397.0,389.0,23.0,7.14
597,19647251934678,S,Lakewood High,Long Beach Unified,Los Angeles,873,426,469.0,469.0,454.0,136.0,31.92
598,19647251935758,S,Millikan High,Long Beach Unified,Los Angeles,898,510,472.0,465.0,464.0,173.0,33.92
599,19647251936947,S,Polytechnic High,Long Beach Unified,Los Angeles,1139,660,479.0,483.0,473.0,267.0,40.45
600,19647251937176,S,Reid High,Long Beach Unified,Los Angeles,203,1,,,,,
601,19647251939875,S,Wilson High,Long Beach Unified,Los Angeles,925,475,494.0,494.0,485.0,222.0,46.74
602,19647251995539,S,California Academy of Mathematics and Science,Long Beach Unified,Los Angeles,161,155,581.0,602.0,579.0,137.0,88.39
603,19647251995570,S,Educational Partnership High,Long Beach Unified,Los Angeles,785,2,,,,,
604,19647251995935,S,Cabrillo High,Long Beach Unified,Los Angeles,610,230,405.0,408.0,388.0,19.0,8.26
605,19647251996503,S,Renaissance High School for the Arts,Long Beach Unified,Los Angeles,119,67,506.0,459.0,483.0,24.0,35.82
606,19647330000000,D,,Los Angeles Unified,Los Angeles,43324,24305,435.0,439.0,435.0,5837.0,24.02
607,19647330100677,S,High Tech LA,Los Angeles Unified,Los Angeles,81,69,525.0,542.0,508.0,41.0,59.42
608,19647330100750,S,Wallis Annenberg High,Los Angeles Unified,Los Angeles,85,85,414.0,424.0,416.0,11.0,12.94
609,19647330100776,S,North Valley Military Institute College Preparator,Los Angeles Unified,Los Angeles,11,10,,,,,
610,19647330100800,S,Central City Value,Los Angeles Unified,Los Angeles,104,109,399.0,395.0,404.0,11.0,10.09
611,19647330101196,S,View Park Preparatory Accelerated High,Los Angeles Unified,Los Angeles,152,105,385.0,374.0,382.0,9.0,8.57
612,19647330101659,S,Crenshaw Arts-Technology Charter High,Los Angeles Unified,Los Angeles,72,61,375.0,362.0,381.0,3.0,4.92
613,19647330101675,S,Oscar De La Hoya Animo Charter High,Los Angeles Unified,Los Angeles,148,153,392.0,391.0,398.0,19.0,12.42
614,19647330101683,S,Renaissance Arts Academy,Los Angeles Unified,Los Angeles,41,39,512.0,499.0,506.0,18.0,46.15
615,19647330102434,S,Animo South Los Angeles Charter,Los Angeles Unified,Los Angeles,151,135,387.0,372.0,376.0,9.0,6.67
616,19647330102541,S,New Designs Charter,Los Angeles Unified,Los Angeles,63,63,397.0,410.0,411.0,11.0,17.46
617,19647330102913,S,Middle College High,Los Angeles Unified,Los Angeles,96,90,439.0,434.0,435.0,17.0,18.89
618,19647330102921,S,Harbor Teacher Preparation Academy,Los Angeles Unified,Los Angeles,97,90,510.0,538.0,509.0,55.0,61.11
619,19647330106351,S,Ivy Academia,Los Angeles Unified,Los Angeles,49,37,416.0,418.0,431.0,8.0,21.62
620,19647330106435,S,Camino Nuevo Charter High,Los Angeles Unified,Los Angeles,0,106,406.0,418.0,413.0,14.0,13.21
621,19647330106831,S,Animo Venice Charter High,Los Angeles Unified,Los Angeles,150,129,416.0,411.0,414.0,17.0,13.18
622,19647330106849,S,Animo Pat Brown,Los Angeles Unified,Los Angeles,124,121,386.0,412.0,377.0,14.0,11.57
623,19647330106864,S,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles Unified,Los Angeles,105,111,415.0,430.0,436.0,17.0,15.32
624,19647330106997,S,Orthopaedic Hospital,Los Angeles Unified,Los Angeles,171,137,448.0,449.0,444.0,35.0,25.55
625,19647330107003,S,Northridge Academy High,Los Angeles Unified,Los Angeles,222,152,461.0,463.0,464.0,49.0,32.24
626,19647330107011,S,International Studies Learning Center at Legacy Hi,Los Angeles Unified,Los Angeles,63,42,453.0,465.0,457.0,14.0,33.33
627,19647330107755,S,Port of Los Angeles High,Los Angeles Unified,Los Angeles,207,148,483.0,500.0,487.0,63.0,42.57
628,19647330108878,S,CHAMPS - Charter HS of Arts-Multimedia & Performin,Los Angeles Unified,Los Angeles,240,162,501.0,464.0,497.0,69.0,42.59
629,19647330108894,S,Alliance Judy Ivie Burton Technology Academy High,Los Angeles Unified,Los Angeles,149,131,391.0,413.0,408.0,16.0,12.21
630,19647330108936,S,Alliance Collins Family College-Ready High,Los Angeles Unified,Los Angeles,156,161,381.0,408.0,390.0,13.0,8.07
631,19647330109322,S,Pacific Boulevard,Los Angeles Unified,Los Angeles,26,0,,,,,
632,19647330109447,S,Santee Education Complex,Los Angeles Unified,Los Angeles,274,172,388.0,371.0,382.0,11.0,6.4
633,19647330109454,S,South East High,Los Angeles Unified,Los Angeles,423,256,433.0,425.0,439.0,59.0,23.05
634,19647330109462,S,Maywood Academy High,Los Angeles Unified,Los Angeles,245,141,421.0,436.0,420.0,29.0,20.57
635,19647330109553,S,PUC CA Academy for Liberal Studies Early College H,Los Angeles Unified,Los Angeles,46,53,422.0,435.0,437.0,6.0,11.32
636,19647330110304,S,Los Angeles Academy of Arts & Enterprise Charter,Los Angeles Unified,Los Angeles,25,29,385.0,386.0,388.0,3.0,10.34
637,19647330110668,S,Frida Kahlo High,Los Angeles Unified,Los Angeles,39,1,,,,,
638,19647330111484,S,New Village Girls Academy,Los Angeles Unified,Los Angeles,22,16,370.0,320.0,374.0,0.0,0.0
639,19647330111492,S,Alliance Patti And Peter Neuwirth Leadership Acade,Los Angeles Unified,Los Angeles,159,177,378.0,397.0,386.0,9.0,5.08
640,19647330111500,S,Alliance Dr. Olga Mohan High,Los Angeles Unified,Los Angeles,104,108,390.0,422.0,407.0,15.0,13.89
641,19647330111575,S,Animo Ralph Bunche High,Los Angeles Unified,Los Angeles,126,80,361.0,385.0,387.0,1.0,1.25
642,19647330111583,S,Animo Jackie Robinson High,Los Angeles Unified,Los Angeles,139,117,381.0,398.0,377.0,11.0,9.4
643,19647330111625,S,Animo Watts College Preparatory Academy,Los Angeles Unified,Los Angeles,123,95,371.0,359.0,362.0,3.0,3.16
644,19647330111641,S,Alliance Ouchi-O'Donovan 6-12 Complex,Los Angeles Unified,Los Angeles,141,124,388.0,381.0,397.0,12.0,9.68
645,19647330111658,S,Alliance Marc & Eva Stern Math and Science,Los Angeles Unified,Los Angeles,143,142,426.0,433.0,439.0,30.0,21.13
646,19647330112029,S,School of Business and Tourism at Contreras Learni,Los Angeles Unified,Los Angeles,93,75,401.0,400.0,403.0,7.0,9.33
647,19647330112037,S,East Valley Senior High,Los Angeles Unified,Los Angeles,155,82,397.0,404.0,415.0,12.0,14.63
648,19647330112045,S,Arleta High,Los Angeles Unified,Los Angeles,356,236,390.0,404.0,397.0,21.0,8.9
649,19647330112052,S,Panorama High,Los Angeles Unified,Los Angeles,234,103,413.0,421.0,411.0,13.0,12.62
650,19647330112508,S,Bright Star Secondary Charter Academy,Los Angeles Unified,Los Angeles,108,108,431.0,443.0,435.0,20.0,18.52
651,19647330112557,S,Frederick Douglass Academy High,Los Angeles Unified,Los Angeles,69,56,377.0,365.0,378.0,3.0,5.36
652,19647330112862,S,Student Empowerment Academy,Los Angeles Unified,Los Angeles,55,35,360.0,370.0,372.0,1.0,2.86
653,19647330112870,S,Contreras Learning Center-Los Angeles School of Gl,Los Angeles Unified,Los Angeles,83,63,386.0,397.0,378.0,3.0,4.76
654,19647330114850,S,West Adams Preparatory High,Los Angeles Unified,Los Angeles,356,208,391.0,405.0,385.0,13.0,6.25
655,19647330115030,S,Magnolia Science Academy 3,Los Angeles Unified,Los Angeles,47,46,407.0,433.0,418.0,6.0,13.04
656,19647330115212,S,Magnolia Science Academy 2,Los Angeles Unified,Los Angeles,29,23,446.0,457.0,427.0,6.0,26.09
657,19647330115253,S,Discovery Charter Preparatory No. 2,Los Angeles Unified,Los Angeles,78,72,365.0,371.0,373.0,3.0,4.17
658,19647330116509,S,Alliance Media Arts and Entertainment Design High,Los Angeles Unified,Los Angeles,68,70,371.0,384.0,375.0,4.0,5.71
659,19647330117051,S,Edward R. Roybal Learning Center,Los Angeles Unified,Los Angeles,277,151,418.0,409.0,408.0,21.0,13.91
660,19647330117069,S,Helen Bernstein High,Los Angeles Unified,Los Angeles,121,49,391.0,389.0,391.0,3.0,6.12
661,19647330117077,S,APEX Academy,Los Angeles Unified,Los Angeles,125,47,376.0,371.0,368.0,2.0,4.26
662,19647330117598,S,Alliance Health Services Academy High,Los Angeles Unified,Los Angeles,112,83,380.0,390.0,393.0,10.0,12.05
663,19647330117606,S,Alliance Environmental Science and Technology High,Los Angeles Unified,Los Angeles,146,102,430.0,423.0,444.0,21.0,20.59
664,19647330117622,S,Magnolia Science Academy 4,Los Angeles Unified,Los Angeles,30,24,409.0,407.0,405.0,2.0,8.33
665,19647330117721,S,Contreras Learning Center-Academic Leadership Comm,Los Angeles Unified,Los Angeles,78,57,384.0,412.0,390.0,4.0,7.02
666,19647330117747,S,RFK Community Schools-Los Angeles High School of t,Los Angeles Unified,Los Angeles,98,58,408.0,411.0,409.0,10.0,17.24
667,19647330117754,S,Belmont SH-LA Teacher Preparatory Academy,Los Angeles Unified,Los Angeles,34,32,331.0,359.0,339.0,1.0,3.13
668,19647330117762,S,RFK Community Schools- for the Visual Arts and Hum,Los Angeles Unified,Los Angeles,81,71,392.0,416.0,394.0,12.0,16.9
669,19647330117911,S,New Millennium Secondary,Los Angeles Unified,Los Angeles,67,44,387.0,378.0,388.0,3.0,6.82
670,19647330118588,S,Alain Leroy Locke College Prep Academy,Los Angeles Unified,Los Angeles,523,281,358.0,377.0,364.0,15.0,5.34
671,19647330119651,S,Sun Valley High,Los Angeles Unified,Los Angeles,106,30,391.0,408.0,385.0,3.0,10.0
672,19647330119685,S,RFK Community Schools-New Open World Academy K-12,Los Angeles Unified,Los Angeles,45,33,402.0,387.0,402.0,2.0,6.06
673,19647330119693,S,RFK Community Schools-UCLA Community K-12,Los Angeles Unified,Los Angeles,75,61,384.0,404.0,392.0,6.0,9.84
674,19647330119727,S,Ramon C. Cortines School of Visual and Performing,Los Angeles Unified,Los Angeles,356,249,451.0,434.0,446.0,73.0,29.32
675,19647330119966,S,Felicitas and Gonzalo Mendez High,Los Angeles Unified,Los Angeles,142,58,390.0,396.0,382.0,6.0,10.34
676,19647330120071,S,New Designs Charter School-Watts,Los Angeles Unified,Los Angeles,21,16,393.0,375.0,371.0,0.0,0.0
677,19647330120360,S,Daniel Pearl Journalism & Communications Magnet,Los Angeles Unified,Los Angeles,112,83,489.0,462.0,470.0,30.0,36.14
678,19647330121095,S,RFK Community Schools-Ambassador-Global Leadership,Los Angeles Unified,Los Angeles,71,40,419.0,406.0,412.0,9.0,22.5
679,19647330121285,S,Alliance Cindy and Bill Simon Technology Academy H,Los Angeles Unified,Los Angeles,118,97,382.0,395.0,364.0,7.0,7.22
680,19647330121293,S,Alliance Tennenbaum Family Technology High,Los Angeles Unified,Los Angeles,94,79,393.0,407.0,385.0,7.0,8.86
681,19647330122275,S,Academy of Environmental & Social Policy (ESP) at,Los Angeles Unified,Los Angeles,68,45,396.0,386.0,390.0,3.0,6.67
682,19647330122333,S,"Math, Science, & Technology Magnet Academy at Roos",Los Angeles Unified,Los Angeles,82,69,450.0,455.0,447.0,23.0,33.33
683,19647330122341,S,East Los Angeles Performing Arts Academy at Esteba,Los Angeles Unified,Los Angeles,127,80,375.0,375.0,378.0,4.0,5.0
684,19647330122358,S,Humanitas Academy of Art and Technology at Esteban,Los Angeles Unified,Los Angeles,100,65,382.0,377.0,386.0,5.0,7.69
685,19647330122366,S,Social Justice Leadership Academy at Esteban E. To,Los Angeles Unified,Los Angeles,93,79,364.0,357.0,371.0,1.0,1.27
686,19647330122374,S,East Los Angeles Renaissance Academy at Esteban E.,Los Angeles Unified,Los Angeles,66,56,404.0,393.0,388.0,5.0,8.93
687,19647330122382,S,Engineering and Technology Academy at Esteban E. T,Los Angeles Unified,Los Angeles,92,74,402.0,393.0,395.0,12.0,16.22
688,19647330122598,S,PUC Triumph Charter High,Los Angeles Unified,Los Angeles,51,0,,,,,
689,19647330122606,S,PUC Lakeview Charter High,Los Angeles Unified,Los Angeles,84,89,380.0,395.0,390.0,6.0,6.74
690,19647330122721,S,Aspire Pacific Academy,Los Angeles Unified,Los Angeles,126,133,401.0,405.0,394.0,15.0,11.28
691,19647330122762,S,Los Angeles Big Picture High,Los Angeles Unified,Los Angeles,14,0,,,,,
692,19647330123141,S,Alliance College-Ready Academy High 16,Los Angeles Unified,Los Angeles,94,92,382.0,387.0,378.0,8.0,8.7
693,19647330124362,S,Valley Academy of Arts and Sciences,Los Angeles Unified,Los Angeles,303,186,447.0,432.0,440.0,39.0,20.97
694,19647330124370,S,"Cesar E. Chavez Learning Academies-Arts,Theatre, E",Los Angeles Unified,Los Angeles,104,63,361.0,354.0,369.0,2.0,3.17
695,19647330124388,S,Cesar E. Chavez Learning Academies-Social Justice,Los Angeles Unified,Los Angeles,94,90,392.0,387.0,401.0,11.0,12.22
696,19647330124396,S,Cesar E. Chavez Learning Academies-Academy of Scie,Los Angeles Unified,Los Angeles,98,66,427.0,396.0,413.0,6.0,9.09
697,19647330124404,S,Cesar E. Chavez Learning Academies-Teacher Prepara,Los Angeles Unified,Los Angeles,113,50,402.0,389.0,401.0,4.0,8.0
698,19647330124412,S,Los Angeles River at Sonia Sotomayor Learning Acad,Los Angeles Unified,Los Angeles,82,62,390.0,379.0,383.0,4.0,6.45
699,19647330124420,S,School of History and Dramatic Arts at Sonia Sotom,Los Angeles Unified,Los Angeles,104,77,433.0,427.0,430.0,18.0,23.38
700,19647330124479,S,Dr. Maya Angelou Community High,Los Angeles Unified,Los Angeles,247,92,368.0,345.0,363.0,5.0,5.43
701,19647330124487,S,Public Service Community at Diego Rivera Learning,Los Angeles Unified,Los Angeles,96,38,383.0,389.0,406.0,2.0,5.26
702,19647330124495,S,Communication and Technology at Diego Rivera Learn,Los Angeles Unified,Los Angeles,87,55,384.0,387.0,373.0,3.0,5.45
703,19647330124503,S,Green Design at Diego Rivera Learning Complex,Los Angeles Unified,Los Angeles,80,49,370.0,375.0,375.0,1.0,2.04
704,19647330124511,S,Performing Arts Community at Diego Rivera Learning,Los Angeles Unified,Los Angeles,82,64,353.0,368.0,372.0,2.0,3.13
705,19647330124529,S,Rancho Dominguez Preparatory,Los Angeles Unified,Los Angeles,187,125,423.0,407.0,420.0,15.0,12.0
706,19647330124560,S,Synergy Quantum Academy,Los Angeles Unified,Los Angeles,134,113,425.0,412.0,419.0,24.0,21.24
707,19647330124883,S,Animo College Preparatory Academy,Los Angeles Unified,Los Angeles,88,49,350.0,343.0,359.0,1.0,2.04
708,19647330124891,S,Alliance Renee and Meyer Luskin Academy High,Los Angeles Unified,Los Angeles,110,92,372.0,402.0,364.0,6.0,6.52
709,19647330124933,S,PUC Early College Academy for Leaders and Scholars,Los Angeles Unified,Los Angeles,65,67,383.0,381.0,401.0,8.0,11.94
710,19647330124941,S,Alliance Margaret M. Bloomfield Technology Academy,Los Angeles Unified,Los Angeles,0,1,,,,,
711,19647330125963,S,Leadership in Entertainment and Media Arts (LEMA),Los Angeles Unified,Los Angeles,80,33,361.0,346.0,354.0,0.0,0.0
712,19647330125989,S,STEM Academy at Bernstein High,Los Angeles Unified,Los Angeles,78,68,391.0,392.0,399.0,9.0,13.24
713,19647330126185,S,Academy of Science and Engineering,Los Angeles Unified,Los Angeles,0,4,,,,,
714,19647330126482,S,Augustus F. Hawkins High A Critical Design and Gam,Los Angeles Unified,Los Angeles,66,50,361.0,356.0,354.0,0.0,0.0
715,19647330126490,S,Augustus F. Hawkins High B Community Health Advoca,Los Angeles Unified,Los Angeles,70,63,356.0,328.0,366.0,2.0,3.17
716,19647330126508,S,Augustus F. Hawkins High C Responsible Indigenous,Los Angeles Unified,Los Angeles,55,52,342.0,341.0,346.0,1.0,1.92
717,19647330126516,S,Linda Esperanza Marquez High A Huntington Park Ins,Los Angeles Unified,Los Angeles,101,45,428.0,405.0,431.0,7.0,15.56
718,19647330126524,S,Linda Esperanza Marquez High B LIBRA Academy,Los Angeles Unified,Los Angeles,111,82,427.0,427.0,410.0,15.0,18.29
719,19647330126532,S,Linda Esperanza Marquez High C School of Social Ju,Los Angeles Unified,Los Angeles,84,44,436.0,445.0,423.0,7.0,15.91
720,19647330126540,S,"Science, Technology, Engineering, Arts and Mathema",Los Angeles Unified,Los Angeles,29,17,384.0,382.0,383.0,1.0,5.88
721,19647330126557,S,Visual and Performing Arts at Legacy High School C,Los Angeles Unified,Los Angeles,30,19,392.0,379.0,386.0,1.0,5.26
722,19647330126573,S,Academy for Multilingual Arts and Science at Mervy,Los Angeles Unified,Los Angeles,48,28,366.0,350.0,377.0,0.0,0.0
723,19647330126615,S,Academies of Education and Empowerment at Carson H,Los Angeles Unified,Los Angeles,128,84,410.0,417.0,403.0,8.0,9.52
724,19647330126623,S,Academy of Medical Arts at Carson High,Los Angeles Unified,Los Angeles,141,115,417.0,431.0,417.0,15.0,13.04
725,19647330127787,S,Humanities and Arts (HARTS) Academy of Los Angeles,Los Angeles Unified,Los Angeles,63,25,446.0,421.0,425.0,2.0,8.0
726,19647330127795,S,Contreras Learning Center-School of Social Justice,Los Angeles Unified,Los Angeles,89,76,377.0,369.0,383.0,3.0,3.95
727,19647330127803,S,Early College Academy-LA Trade Tech College,Los Angeles Unified,Los Angeles,94,2,,,,,
728,19647330127910,S,Camino Nuevo High No. 2,Los Angeles Unified,Los Angeles,117,0,,,,,
729,19647331930064,S,William Tell Aggeler Opportunity High,Los Angeles Unified,Los Angeles,21,0,,,,,
730,19647331930296,S,Harris Newmark Continuation,Los Angeles Unified,Los Angeles,85,1,,,,,
731,19647331930403,S,Whitney Young Continuation,Los Angeles Unified,Los Angeles,12,1,,,,,
732,19647331930429,S,View Park Continuation,Los Angeles Unified,Los Angeles,27,8,,,,,
733,19647331930619,S,Harold McAlister High (Opportunity),Los Angeles Unified,Los Angeles,43,2,,,,,
734,19647331930650,S,Phineas Banning Senior High,Los Angeles Unified,Los Angeles,428,309,405.0,424.0,408.0,40.0,12.94
735,19647331930692,S,Thomas Riley High,Los Angeles Unified,Los Angeles,31,2,,,,,
736,19647331930734,S,Angel's Gate (Continuation),Los Angeles Unified,Los Angeles,21,1,,,,,
737,19647331930866,S,Bell Senior High,Los Angeles Unified,Los Angeles,845,411,420.0,439.0,420.0,64.0,15.57
738,19647331930924,S,Belmont Senior High,Los Angeles Unified,Los Angeles,244,175,390.0,409.0,401.0,17.0,9.71
739,19647331930940,S,John R. Wooden High,Los Angeles Unified,Los Angeles,49,3,,,,,
740,19647331931047,S,Birmingham Community Charter High,Los Angeles Unified,Los Angeles,705,327,433.0,428.0,433.0,60.0,18.35
741,19647331931385,S,Albert Einstein Continuation,Los Angeles Unified,Los Angeles,23,1,,,,,
742,19647331931393,S,Highland Park Continuation,Los Angeles Unified,Los Angeles,16,2,,,,,
743,19647331931450,S,Jack London Continuation,Los Angeles Unified,Los Angeles,34,1,,,,,
744,19647331931476,S,Canoga Park Senior High,Los Angeles Unified,Los Angeles,295,124,442.0,429.0,426.0,22.0,17.74
745,19647331931484,S,Mission Continuation,Los Angeles Unified,Los Angeles,38,3,,,,,
746,19647331931526,S,Carson Senior High,Los Angeles Unified,Los Angeles,281,135,438.0,431.0,432.0,28.0,20.74
747,19647331931708,S,Chatsworth Charter High,Los Angeles Unified,Los Angeles,576,238,458.0,455.0,446.0,71.0,29.83
